,lat,lon,radius,region,num_results,checked_this_month
348,42.95385,-123.9949,14.7,Lower 48,0,False
349,42.83394,-123.94489,14.7,Lower 48,0,False
350,42.71402,-123.89506,14.7,Lower 48,0,False
351,42.59411,-123.8454,14.7,Lower 48,0,False
352,42.4742,-123.79592,14.7,Lower 48,0,False
353,42.35429,-123.7466,14.7,Lower 48,0,False
354,42.23438,-123.69745,14.7,Lower 48,0,False
355,42.11447,-123.64847,14.7,Lower 48,0,False
356,41.99456,-123.59966,14.7,Lower 48,0,False
357,41.87464,-123.55102,14.7,Lower 48,0,False
358,41.75473,-123.50254,14.7,Lower 48,0,False
359,41.63481,-123.45423,14.7,Lower 48,0,False
360,41.51489,-123.40608,14.7,Lower 48,0,False
361,41.39496,-123.3581,14.7,Lower 48,0,False
362,41.27504,-123.31028,14.7,Lower 48,0,False
363,41.1551,-123.26262,14.7,Lower 48,0,False
364,41.03516,-123.21512,14.7,Lower 48,0,False
365,40.91523,-123.16778,14.7,Lower 48,0,False
366,40.79528,-123.1206,14.7,Lower 48,0,False
367,40.67532,-123.07359,14.7,Lower 48,0,False
368,40.55536,-123.02673,14.7,Lower 48,0,False
369,40.43538,-122.98003,14.7,Lower 48,0,False
370,40.3154,-122.93348,14.7,Lower 48,0,False
371,40.19542,-122.88709,14.7,Lower 48,0,False
372,40.07542,-122.84086,14.7,Lower 48,0,False
373,39.95541,-122.79478,14.7,Lower 48,0,False
374,39.83539,-122.74886,14.7,Lower 48,0,False
375,39.71537,-122.70309,14.7,Lower 48,0,False
376,39.59533,-122.65746,14.7,Lower 48,0,False
377,39.47528,-122.612,14.7,Lower 48,0,False
378,39.35522,-122.56668,14.7,Lower 48,0,False
379,39.23514,-122.52151,14.7,Lower 48,0,False
380,39.11505,-122.47649,14.7,Lower 48,0,False
381,38.99495,-122.43162,14.7,Lower 48,0,False
382,38.87484,-122.3869,14.7,Lower 48,0,False
383,38.75471,-122.34232,14.7,Lower 48,0,False
384,38.63456,-122.2979,14.7,Lower 48,0,False
385,38.5144,-122.25361,14.7,Lower 48,0,False
386,38.39423,-122.20948,14.7,Lower 48,0,False
387,38.27404,-122.16548,14.7,Lower 48,0,False
388,38.15383,-122.12163,14.7,Lower 48,0,False
389,38.0336,-122.07793,14.7,Lower 48,0,False
390,37.91336,-122.03436,14.7,Lower 48,0,False
391,37.7931,-121.99094,14.7,Lower 48,0,False
392,37.67282,-121.94766,14.7,Lower 48,0,False
393,37.55252,-121.90452,14.7,Lower 48,0,False
394,37.4322,-121.86152,14.7,Lower 48,0,False
395,37.31187,-121.81866,14.7,Lower 48,0,False
396,37.19151,-121.77594,14.7,Lower 48,0,False
397,37.07113,-121.73335,14.7,Lower 48,0,False
398,36.95073,-121.6909,14.7,Lower 48,0,False
399,36.83031,-121.64859,14.7,Lower 48,0,False
400,36.70987,-121.60641,14.7,Lower 48,0,False
401,36.5894,-121.56437,14.7,Lower 48,0,False
402,36.46891,-121.52246,14.7,Lower 48,0,False
403,36.3484,-121.48069,14.7,Lower 48,0,False
404,36.22787,-121.43905,14.7,Lower 48,0,False
405,36.10731,-121.39754,14.7,Lower 48,0,False
406,35.98673,-121.35616,14.7,Lower 48,0,False
407,35.86612,-121.31492,14.7,Lower 48,0,False
408,35.74548,-121.27381,14.7,Lower 48,0,False
409,35.62482,-121.23282,14.7,Lower 48,0,False
410,43.88524,-124.23079,14.7,Lower 48,0,False
411,43.76522,-124.17969,14.7,Lower 48,0,False
412,43.64522,-124.12877,14.7,Lower 48,0,False
413,43.52522,-124.07802,14.7,Lower 48,0,False
414,43.40522,-124.02745,14.7,Lower 48,0,False
415,43.28523,-123.97706,14.7,Lower 48,0,False
416,43.16525,-123.92685,14.7,Lower 48,0,False
417,43.04527,-123.87681,14.7,Lower 48,0,False
418,42.92529,-123.82694,14.7,Lower 48,0,False
419,42.80532,-123.77725,14.7,Lower 48,0,False
420,42.68535,-123.72773,14.7,Lower 48,0,False
421,42.56538,-123.67838,14.7,Lower 48,0,False
422,42.44541,-123.6292,14.7,Lower 48,0,False
423,42.32544,-123.58019,14.7,Lower 48,0,False
424,42.20547,-123.53135,14.7,Lower 48,0,False
425,42.0855,-123.48268,14.7,Lower 48,0,False
426,41.96553,-123.43417,14.7,Lower 48,0,False
427,41.84556,-123.38583,14.7,Lower 48,0,False
428,41.72559,-123.33765,14.7,Lower 48,0,False
429,41.60561,-123.28964,14.7,Lower 48,0,False
430,41.48563,-123.2418,14.7,Lower 48,0,False
431,41.36565,-123.19411,14.7,Lower 48,0,False
